英雄,分路,胜率,日变化,出场率,第一轮禁用率,第二轮禁用率,赋权禁用率,禁用率,赋权BP率,BP率,巅峰均分,Q区国十,Q区国百,aq国十,aq国百,iq国十,iq国百,av国十,av国百,iv国十,iv国百,场均击杀,场均死亡,场均助攻,KDA,参团率,输出占比,分均输出,承伤占比,分均承伤,分均经济,局均经济,伤转,平均时长,控制时长,治疗量,对塔伤害,胜方MVP,败方MVP,MVP率,拿牌率,超神率,前期胜率,中期胜率,后期胜率
元流之子(刺客),打野,48.4%,+0.57%,1.6%,0.0%,0.0%,0.0%,0.0%,1.6%,1.6%,"2,250","15,119","12,392","15,433","12,883","14,805","11,901","13,981","11,822","14,085","11,370",4.7,2.5,5.0,3.94,68.0%,19.5%,"4,847",19.9%,"4,914",788,"10,769",0.83,13:40,5.6s,"41,051","8,300",13.9%,12.5%,26.4%,23.6%,12.5%,46.8%,50.6%,49.5%
马可波罗,发育路,47.1%,-0.20%,1.5%,0.0%,0.0%,0.0%,0.0%,1.5%,1.5%,"2,248","15,090","12,533","15,098","12,895","15,082","12,170","14,756","12,444","14,616","12,328",3.4,2.7,4.7,2.95,57.1%,23.1%,"5,991",16.6%,"4,055",722,"9,807",1.05,13:35,0.9s,"9,958","9,000",13.4%,11.9%,25.3%,15.0%,9.0%,46.7%,49.5%,50.6%
金蝉,中路,43.8%,-0.30%,1.1%,0.2%,0.1%,0.2%,0.3%,1.3%,1.4%,"2,239","13,500","11,386","13,884","11,785","13,115","10,986","13,715","11,486","14,702","11,590",1.8,2.4,7.0,3.71,70.1%,25.6%,"6,156",13.0%,"3,133",574,"7,969",1.42,13:53,5.3s,"7,007",541,4.0%,16.0%,20.0%,16.0%,2.0%,43.8%,46.1%,44.9%
娜可露露,打野,48.6%,+0.02%,1.4%,0.0%,0.0%,0.0%,0.0%,1.4%,1.4%,"2,218","14,515","12,164","14,579","12,609","14,451","11,718","14,032","12,005","14,103","11,535",4.4,2.9,3.8,2.87,56.0%,18.6%,"4,594",15.7%,"3,450",783,"10,022",0.81,12:48,1.9s,"19,807","4,692",4.8%,8.1%,12.9%,11.3%,9.7%,47.5%,49.2%,52.6%
庄周,游走,50.9%,-0.13%,0.9%,0.2%,0.2%,0.3%,0.4%,1.2%,1.3%,"2,242","13,629","10,056","13,893","10,681","13,365","9,431","12,307","10,242","12,712","9,943",1.1,1.9,9.0,5.47,71.9%,13.2%,"3,215",26.8%,"6,690",527,"7,220",0.82,13:42,8.0s,"22,588",569,14.6%,9.8%,24.4%,31.7%,0.0%,46.6%,51.9%,52.1%
钟无艳,对抗路,47.2%,+0.58%,1.2%,0.0%,0.0%,0.0%,0.0%,1.2%,1.2%,"2,293","13,759","11,211","13,932","11,743","13,585","10,678","13,024","11,194","14,347","10,558",2.1,2.7,3.7,2.10,46.9%,17.4%,"3,954",23.8%,"5,547",659,"8,677",0.86,13:10,13.3s,"7,246","4,444",5.5%,10.9%,16.4%,12.8%,0.0%,51.4%,48.6%,44.6%
干将莫邪,中路,47.7%,+0.22%,1.2%,0.0%,0.0%,0.0%,0.0%,1.2%,1.2%,"2,241","14,503","12,572","14,738","13,011","14,268","12,133","14,256","12,584","14,311","11,743",2.9,2.9,4.6,2.61,54.1%,26.2%,"6,524",13.1%,"3,258",636,"8,565",1.34,13:28,2.7s,"6,109",878,13.0%,13.0%,26.0%,24.1%,3.7%,47.3%,45.9%,51.2%
蔡文姬,游走,44.9%,+1.25%,1.1%,0.0%,0.0%,0.1%,0.1%,1.1%,1.2%,"2,252","14,168","11,083","14,451","11,297","13,884","10,868","13,054","10,597","14,765","11,146",0.4,2.5,8.8,3.63,68.7%,8.1%,"2,000",25.5%,"6,593",517,"6,997",0.50,13:32,42.3s,"113,555","1,583",6.1%,6.1%,12.2%,26.5%,0.0%,44.5%,46.9%,47.4%
鬼谷子,游走,51.5%,+0.18%,1.0%,0.0%,0.1%,0.1%,0.1%,1.1%,1.2%,"2,283","14,567","11,834","14,927","12,584","14,207","11,083","13,896","11,706","14,085","10,940",0.9,2.5,12.0,5.17,79.5%,9.3%,"2,131",21.1%,"4,146",505,"6,649",0.61,13:10,14.2s,"7,328","1,152",2.1%,2.1%,4.2%,14.9%,0.0%,48.1%,54.0%,54.3%
孙膑,游走,49.8%,+0.42%,1.0%,0.0%,0.1%,0.0%,0.1%,1.1%,1.1%,"2,235","13,906","10,851","13,884","11,103","13,928","10,599","14,176","10,554","14,532","10,651",0.9,2.3,9.8,4.72,69.6%,13.4%,"3,153",20.6%,"5,054",521,"7,268",0.85,13:57,13.3s,"40,569","1,217",0.0%,4.3%,4.3%,28.2%,0.0%,45.1%,50.9%,51.2%
