英雄,分路,胜率,日变化,出场率,第一轮禁用率,第二轮禁用率,赋权禁用率,禁用率,赋权BP率,BP率,巅峰均分,Q区国十,Q区国百,aq国十,aq国百,iq国十,iq国百,av国十,av国百,iv国十,iv国百,场均击杀,场均死亡,场均助攻,KDA,参团率,输出占比,分均输出,承伤占比,分均承伤,分均经济,局均经济,伤转,平均时长,控制时长,治疗量,对塔伤害,胜方MVP,败方MVP,MVP率,拿牌率,超神率,前期胜率,中期胜率,后期胜率
大司命,打野,50.2%,+0.36%,5.5%,0.1%,0.4%,0.3%,0.6%,5.8%,6.1%,"2,248","15,524","13,121","15,846","13,658","15,201","12,584","14,591","12,920","14,619","12,077",4.1,2.8,4.2,2.99,59.1%,24.1%,"6,017",19.7%,"4,678",793,"10,190",1.02,12:51,6.2s,"33,200","7,747",14.1%,10.1%,24.2%,21.3%,6.5%,49.8%,51.4%,49.5%
貂蝉,中路/对抗路,50.7%,-0.32%,5.5%,0.1%,0.5%,0.3%,0.5%,5.7%,6.0%,"2,245","15,390","13,368","15,396","13,621","15,384","13,115","14,738","12,883","15,085","13,115",3.3,3.4,4.5,2.28,58.7%,25.6%,"6,199",19.7%,"4,968",728,"9,597",1.18,13:11,2.4s,"26,730",838,13.4%,8.5%,21.9%,22.8%,3.7%,47.0%,53.3%,57.9%
花木兰,对抗路,51.7%,-0.09%,5.9%,0.0%,0.0%,0.0%,0.0%,6.0%,6.0%,"2,270","15,604","13,527","15,604","13,780","15,604","13,274","14,972","13,011","15,177","12,920",3.3,3.4,4.1,2.17,52.6%,18.8%,"4,543",18.1%,"4,186",698,"9,435",0.90,13:31,18.5s,"10,723","4,775",6.0%,11.6%,17.6%,23.5%,2.2%,54.9%,50.3%,49.5%
猪八戒,打野/对抗路,48.1%,+0.27%,5.3%,0.2%,0.4%,0.4%,0.6%,5.7%,5.9%,"2,237","14,671","12,646","15,177","13,170","14,164","12,121","14,426","12,767","14,281","12,170",2.7,3.0,4.9,2.53,55.6%,16.9%,"3,965",28.2%,"7,481",680,"8,772",0.82,12:54,16.4s,"58,970","3,633",7.9%,5.4%,13.3%,17.6%,3.3%,48.6%,47.8%,46.1%
鲁班七号,发育路,53.2%,+0.08%,4.5%,0.0%,1.3%,0.5%,1.3%,5.0%,5.8%,"2,253","14,936","12,426","14,957","12,938","14,914","11,913","15,061","12,290","14,231","11,889",3.8,3.3,5.4,2.79,60.4%,28.4%,"6,999",16.3%,"3,893",735,"10,180",1.29,13:51,4.3s,"8,699","16,983",16.7%,11.3%,28.0%,31.0%,3.9%,54.1%,51.6%,52.5%
白起,对抗路,47.2%,+0.07%,4.8%,0.1%,0.7%,0.4%,0.8%,5.2%,5.6%,"2,246","14,753","12,767","15,110","13,194","14,396","12,340","14,451","12,950","14,207","11,926",2.4,2.8,5.4,2.77,55.0%,13.7%,"3,139",28.6%,"7,687",644,"8,748",0.70,13:35,16.0s,"59,759","1,303",1.8%,5.5%,7.3%,7.4%,0.9%,46.4%,48.2%,48.0%
达摩,对抗路,51.3%,-0.06%,5.3%,0.0%,0.1%,0.0%,0.1%,5.4%,5.4%,"2,257","14,533","12,475","15,018","13,127","14,048","11,822","14,811","12,548","13,792","10,943",2.5,2.9,5.2,2.66,53.8%,16.1%,"3,755",21.5%,"4,972",644,"8,179",0.83,12:42,20.7s,"34,920","3,526",4.2%,5.0%,9.2%,22.5%,1.3%,51.9%,51.0%,49.5%
孙尚香,发育路,51.9%,+0.10%,4.8%,0.0%,0.3%,0.1%,0.3%,4.9%,5.1%,"2,254","15,738","13,506","15,512","13,884","15,964","13,127","14,670","13,011","15,305","13,078",3.9,2.7,4.5,3.09,59.6%,25.7%,"6,141",17.4%,"4,055",746,"9,810",1.15,13:09,4.9s,"10,032","15,135",17.1%,12.0%,29.1%,32.3%,4.6%,55.1%,50.2%,48.9%
橘右京,打野,50.4%,+0.09%,4.9%,0.0%,0.1%,0.1%,0.2%,5.0%,5.1%,"2,249","15,182","12,896","15,187","13,182","15,177","12,609","15,030","12,584","14,414","12,145",3.5,2.7,4.3,2.89,60.1%,20.7%,"4,885",18.8%,"4,502",764,"9,830",0.89,12:52,9.7s,"31,860","6,326",10.4%,7.7%,18.1%,19.4%,5.4%,50.8%,49.1%,50.5%
芈月,对抗路,51.5%,-0.38%,4.3%,0.1%,0.3%,0.2%,0.4%,4.5%,4.7%,"2,256","15,177","12,838","15,177","13,182","15,177","12,493","14,579","12,560","15,417","12,584",2.5,3.1,3.2,1.85,43.8%,21.7%,"5,440",21.8%,"5,187",710,"9,301",1.03,13:06,0.4s,"28,825","7,451",7.1%,9.2%,16.3%,15.8%,0.0%,54.2%,49.3%,45.6%
扁鹊,中路,49.4%,+0.34%,4.5%,0.0%,0.0%,0.0%,0.1%,4.5%,4.6%,"2,253","14,948","13,124","15,354","13,676","14,542","12,572","14,475","12,859","15,028","12,584",2.7,2.3,6.7,4.09,72.8%,23.2%,"5,652",16.4%,"4,267",652,"8,552",1.18,13:07,16.1s,"60,845","1,112",16.3%,10.8%,27.1%,33.0%,3.4%,46.6%,51.7%,55.2%
赵怀真,游走/对抗路,46.8%,+0.38%,4.2%,0.0%,0.1%,0.1%,0.1%,4.3%,4.4%,"2,242","14,787","12,709","15,177","13,377","14,396","12,041","14,994","12,847","14,475","11,773",1.7,3.1,6.4,2.58,61.9%,12.5%,"2,945",27.3%,"6,824",549,"7,183",0.73,13:05,19.2s,"12,625","2,797",5.2%,5.8%,11.0%,16.8%,0.0%,45.9%,47.0%,48.0%
姬小满,对抗路,49.1%,+0.07%,4.0%,0.0%,0.1%,0.0%,0.1%,4.1%,4.1%,"2,258","15,278","13,017","15,421","13,450","15,134","12,584","14,821","12,895","14,738","11,718",3.5,3.2,3.9,2.33,50.2%,14.8%,"3,509",20.0%,"4,662",669,"9,009",0.73,13:28,19.0s,"35,753","3,442",9.3%,6.6%,15.9%,22.0%,2.7%,49.2%,49.4%,49.9%
典韦,打野,52.9%,-0.05%,4.0%,0.0%,0.0%,0.0%,0.1%,4.0%,4.0%,"2,239","14,735","12,264","15,177","13,231","14,292","11,297","14,799","12,584","13,884","11,358",4.1,3.3,4.5,2.62,59.8%,20.4%,"5,056",19.6%,"4,675",738,"9,717",0.93,13:10,6.2s,"12,196","8,487",8.9%,7.8%,16.7%,20.1%,5.6%,51.5%,54.8%,47.6%
上官婉儿,中路,52.7%,+0.17%,3.9%,0.0%,0.1%,0.1%,0.1%,4.0%,4.0%,"2,249","15,299","12,883","15,226","13,182","15,372","12,584","14,567","12,584","15,030","12,584",4.6,3.7,4.6,2.50,58.4%,24.7%,"5,997",17.9%,"4,321",661,"8,527",1.27,12:54,1.4s,"13,644","3,395",11.3%,7.3%,18.6%,21.4%,4.5%,54.6%,51.4%,47.8%
