英雄,分路,胜率,日变化,出场率,第一轮禁用率,第二轮禁用率,赋权禁用率,禁用率,赋权BP率,BP率,巅峰均分,Q区国十,Q区国百,aq国十,aq国百,iq国十,iq国百,av国十,av国百,iv国十,iv国百,场均击杀,场均死亡,场均助攻,KDA,参团率,输出占比,分均输出,承伤占比,分均承伤,分均经济,局均经济,伤转,平均时长,控制时长,治疗量,对塔伤害,胜方MVP,败方MVP,MVP率,拿牌率,超神率,前期胜率,中期胜率,后期胜率
张良,游走/中路,49.6%,+0.23%,3.3%,0.9%,2.9%,2.1%,3.8%,5.4%,7.2%,"2,266","14,470","12,167","14,927","12,853","14,012","11,480","14,829","12,226","14,738","12,016",1.2,3.2,9.9,3.53,69.3%,11.2%,"2,613",17.3%,"3,477",521,"6,747",0.72,12:57,32.8s,"5,773",793,3.4%,2.8%,6.2%,16.9%,0.0%,50.4%,49.6%,47.3%
阿轲,打野,49.5%,-0.02%,0.5%,0.0%,0.0%,0.0%,0.0%,0.5%,0.5%,"2,207","14,631","12,582","14,695","12,847","14,567","12,316","14,335","12,584","14,741","12,761",4.8,3.3,5.8,3.25,68.1%,18.5%,"4,680",17.7%,"4,587",753,"10,956",0.83,14:33,2.3s,"39,579","6,377",15.4%,3.8%,19.2%,15.4%,15.4%,45.8%,52.0%,51.5%
李白,打野,49.5%,+0.32%,2.6%,0.0%,0.1%,0.1%,0.1%,2.7%,2.7%,"2,281","15,537","13,619","15,598","13,890","15,476","13,347","14,744","12,950","15,038","13,286",3.2,2.4,5.0,3.42,63.0%,22.5%,"5,394",14.5%,"3,331",741,"10,226",1.00,13:48,12.5s,"8,268","5,591",12.1%,7.1%,19.2%,15.6%,3.5%,50.0%,49.6%,52.8%
姬小满,对抗路,49.5%,+0.20%,4.9%,0.0%,0.1%,0.0%,0.1%,4.9%,5.0%,"2,280","15,598","13,628","15,592","14,103","15,604","13,152","15,280","13,731","15,146","12,493",3.8,3.2,3.8,2.34,51.6%,15.4%,"3,552",20.0%,"4,589",670,"9,123",0.76,13:37,18.8s,"35,136","3,483",9.2%,6.5%,15.7%,26.4%,2.7%,48.9%,50.2%,49.6%
杨戬,对抗路/打野,49.4%,-0.25%,9.4%,0.1%,0.7%,0.4%,0.8%,9.8%,10.2%,"2,274","15,790","14,067","16,147","14,567","15,433","13,566","15,671","14,073","15,137","13,109",3.3,3.0,4.4,2.55,55.7%,20.6%,"5,030",23.7%,"5,898",669,"9,188",1.01,13:44,12.5s,"45,171","3,753",9.4%,7.4%,16.8%,15.8%,1.4%,50.1%,49.5%,46.6%
桑启,游走,49.4%,-0.19%,1.5%,0.0%,0.0%,0.0%,0.0%,1.5%,1.5%,"2,265","15,199","13,414","15,470","13,810","14,927","13,017","14,603","13,011","15,077","12,584",1.3,2.6,8.3,3.65,73.2%,11.7%,"2,832",22.8%,"5,513",503,"6,765",0.75,13:27,11.4s,"81,917",866,9.8%,4.9%,14.7%,23.1%,0.0%,49.0%,50.2%,48.0%
兰陵王,对抗路/打野,49.4%,+0.34%,0.6%,0.0%,0.0%,0.0%,0.0%,0.6%,0.6%,"2,259","14,649","12,008","14,902","12,719","14,396","11,297","13,853","11,791","13,719","11,340",3.6,4.7,4.8,1.78,60.7%,15.7%,"3,686",17.7%,"3,929",677,"9,399",0.78,13:53,16.9s,"19,738","2,996",0.0%,5.9%,5.9%,5.9%,0.0%,46.1%,49.4%,52.2%
女娲,中路,49.3%,-0.18%,22.4%,13.5%,21.6%,22.1%,35.1%,44.6%,57.5%,"2,277","16,675","15,284","16,879","15,543","16,470","15,024","15,586","14,439","15,567","14,176",2.5,2.1,7.1,4.51,71.1%,27.2%,"6,698",11.3%,"2,584",640,"8,853",1.39,13:50,26.3s,"5,848",790,13.4%,16.7%,30.1%,30.2%,1.0%,46.6%,49.9%,52.4%
铠,打野,49.3%,+0.04%,5.5%,0.1%,0.7%,0.4%,0.8%,5.9%,6.3%,"2,256","15,482","13,737","15,787","14,463","15,177","13,011","15,024","13,665","14,750","12,780",3.2,2.4,4.5,3.18,57.5%,18.6%,"4,560",18.4%,"4,548",714,"9,699",0.85,13:35,17.1s,"32,084","7,591",8.2%,7.1%,15.3%,13.2%,4.1%,47.9%,51.1%,45.7%
杨玉环,中路/游走,49.3%,-0.12%,11.7%,0.0%,0.2%,0.1%,0.2%,11.8%,11.9%,"2,274","16,254","14,765","16,281","14,792","16,226","14,738","15,811","14,274","16,177","14,420",2.4,2.4,6.9,3.82,71.6%,21.3%,"4,976",19.5%,"4,839",637,"8,207",1.10,12:53,13.7s,"50,331","3,182",12.6%,8.9%,21.5%,30.9%,1.1%,47.5%,51.2%,48.0%
扁鹊,中路,49.2%,-0.05%,4.0%,0.1%,0.1%,0.1%,0.1%,4.1%,4.2%,"2,278","15,580","13,857","16,031","14,378","15,128","13,335","15,317","13,713","15,158","13,432",2.4,2.3,6.4,3.83,73.8%,23.7%,"5,577",16.2%,"4,176",638,"8,326",1.22,13:03,16.0s,"57,309","1,155",12.6%,10.3%,22.9%,28.1%,1.4%,46.7%,50.6%,54.9%
孙膑,游走,49.2%,-0.57%,0.6%,0.0%,0.0%,0.0%,0.1%,0.6%,0.7%,"2,265","14,027","11,691","14,017","11,968","14,036","11,413","14,639","11,273","15,127","11,582",0.6,1.8,8.5,5.03,73.4%,12.9%,"3,116",21.0%,"4,945",515,"6,987",0.81,13:34,13.3s,"40,398",662,9.4%,12.5%,21.9%,25.0%,0.0%,44.9%,50.9%,51.1%
赵云,打野,49.2%,+0.13%,11.3%,0.1%,0.9%,0.5%,1.0%,11.8%,12.4%,"2,261","15,729","14,430","16,019","14,823","15,439","14,036","15,232","14,176","15,445","14,018",3.4,2.5,4.6,3.24,59.5%,17.8%,"4,252",19.3%,"4,659",749,"9,937",0.79,13:16,8.0s,"43,008","5,032",6.1%,4.8%,10.9%,11.5%,5.3%,45.8%,51.3%,51.1%
小乔,中路,49.1%,-0.17%,14.2%,0.1%,1.5%,0.7%,1.6%,14.8%,15.8%,"2,276","16,290","15,024","16,403","15,201","16,177","14,847","15,396","14,262","15,653","14,274",2.5,2.9,5.8,2.89,61.0%,22.8%,"5,239",14.5%,"3,379",616,"8,152",1.22,13:14,14.6s,"5,326",660,5.4%,9.6%,15.0%,19.5%,0.3%,49.4%,49.0%,48.9%
百里守约,发育路,49.1%,-0.11%,18.0%,1.6%,7.9%,4.7%,9.5%,22.7%,27.4%,"2,269","16,211","15,096","16,415","15,374","16,006","14,817","15,604","14,548","15,836","14,414",2.8,2.2,4.8,3.36,56.5%,24.8%,"6,024",14.3%,"3,411",695,"9,371",1.17,13:29,2.3s,"9,181","10,362",12.8%,10.6%,23.4%,20.9%,2.7%,45.0%,51.0%,54.9%
刘邦,游走/对抗路,48.9%,+0.12%,8.4%,0.6%,1.1%,1.1%,1.7%,9.4%,10.1%,"2,268","15,525","14,003","15,799","14,610","15,250","13,396","15,348","14,195","15,604","13,109",2.6,2.9,8.1,3.74,72.8%,11.7%,"2,697",27.2%,"6,553",556,"7,339",0.70,13:12,8.3s,"9,425","2,237",14.3%,7.4%,21.7%,27.6%,1.8%,47.4%,49.4%,51.3%
海诺,中路,48.9%,+0.16%,6.0%,0.1%,0.6%,0.3%,0.6%,6.3%,6.7%,"2,285","15,726","13,856","16,049","14,140","15,402","13,572","15,317","13,530","15,030","13,024",1.8,2.2,5.6,3.38,58.0%,30.4%,"7,927",26.0%,"7,061",677,"9,343",1.50,13:48,0.8s,"41,134","1,138",14.4%,15.6%,30.0%,31.3%,0.3%,52.6%,47.1%,46.4%
东皇太一,对抗路/游走,48.9%,-0.14%,0.7%,0.0%,0.1%,0.1%,0.1%,0.8%,0.8%,"2,277","14,116","11,850","15,000","12,658","13,231","11,041","13,896","12,048","13,841","11,578",2.7,3.7,6.9,2.63,60.3%,15.8%,"3,787",26.9%,"6,327",611,"7,821",0.89,12:48,16.5s,"36,153","1,808",7.7%,2.6%,10.3%,30.8%,0.0%,48.8%,48.4%,47.0%
孙悟空,打野,48.8%,-0.12%,11.0%,1.0%,2.2%,1.9%,3.3%,12.9%,14.3%,"2,269","16,022","14,119","16,067","14,640","15,976","13,597","15,280","13,884","14,945","13,353",4.3,3.5,3.6,2.28,56.8%,18.2%,"4,241",18.7%,"4,413",776,"10,243",0.78,13:12,7.0s,"6,270","6,424",11.3%,7.2%,18.5%,16.0%,6.8%,48.0%,49.4%,50.6%
刘备,打野,48.8%,-0.21%,0.6%,0.0%,0.0%,0.0%,0.0%,0.6%,0.6%,"2,232","14,543","12,701","14,957","13,390","14,128","12,011","14,262","12,841","14,085","12,029",3.5,2.5,4.1,3.07,62.5%,19.8%,"4,511",21.5%,"5,310",781,"9,893",0.84,12:40,5.0s,"10,442","12,191",13.8%,3.4%,17.2%,13.8%,6.9%,48.5%,51.5%,54.7%
曹操,对抗路,48.8%,-0.27%,7.4%,0.0%,0.1%,0.0%,0.1%,7.4%,7.5%,"2,274","15,912","14,351","16,220","14,872","15,604","13,829","15,476","13,688","15,470","13,182",2.6,2.8,4.5,2.50,53.2%,20.3%,"4,858",23.6%,"5,767",690,"9,154",0.97,13:16,6.0s,"41,811","7,551",7.9%,8.4%,16.3%,17.9%,0.5%,48.2%,49.2%,48.9%
司空震,对抗路/发育路,48.7%,-0.06%,18.3%,5.3%,9.5%,9.2%,14.9%,27.5%,33.2%,"2,270","16,623","14,973","16,555","15,372","16,690","14,573","15,762","14,664","15,665","14,079",2.5,2.6,4.2,2.53,52.7%,20.8%,"5,018",23.4%,"5,741",702,"9,255",0.98,13:11,12.5s,"21,668","8,075",9.1%,8.2%,17.3%,23.0%,2.2%,47.2%,49.7%,50.3%
狂铁,对抗路,48.7%,+0.05%,17.3%,0.5%,4.4%,2.2%,4.9%,19.6%,22.2%,"2,273","16,161","14,540","16,278","15,104","16,043","13,975","15,750","14,263","15,396","13,182",1.6,2.6,5.1,2.58,52.6%,16.7%,"3,874",27.7%,"7,067",632,"8,142",0.86,12:53,16.7s,"35,077","3,415",4.5%,6.2%,10.7%,17.9%,0.1%,47.5%,48.8%,51.3%
卢雅那,发育路,48.7%,+0.12%,20.2%,1.9%,3.4%,3.2%,5.2%,23.4%,25.4%,"2,286","15,610","13,518","15,830","13,865","15,390","13,170","14,475","13,091","14,945","12,999",3.2,3.0,5.0,2.72,58.5%,26.2%,"6,395",16.1%,"3,897",704,"9,328",1.23,13:15,10.1s,"8,689","11,058",11.2%,8.9%,20.1%,23.7%,3.5%,46.0%,50.4%,48.5%
元流之子(射手),发育路,48.4%,-0.15%,28.8%,6.0%,26.1%,16.4%,32.0%,45.2%,60.9%,"2,274","16,458","15,345","16,647","15,604","16,269","15,085","15,939","14,914","15,903","14,707",3.0,2.4,4.5,3.10,57.5%,27.8%,"6,710",16.2%,"3,857",712,"9,529",1.28,13:23,0.8s,"15,447","13,522",12.6%,12.7%,25.3%,22.4%,3.7%,51.2%,47.4%,45.7%
弈星,中路,48.3%,-0.16%,5.4%,0.0%,0.3%,0.1%,0.3%,5.5%,5.6%,"2,281","15,796","13,884","15,872","14,335","15,720","13,432","15,226","13,572","15,073","13,048",2.2,2.1,7.8,4.65,72.5%,22.2%,"4,978",13.9%,"3,229",603,"7,990",1.20,13:15,17.9s,"5,934","1,594",7.7%,11.2%,18.9%,22.5%,1.1%,45.9%,49.6%,50.5%
猪八戒,对抗路/打野,48.2%,+0.06%,4.9%,0.1%,0.6%,0.3%,0.7%,5.2%,5.6%,"2,273","15,205","13,420","15,604","13,890","14,805","12,950","15,030","13,457","14,738","12,889",2.2,3.0,4.6,2.30,52.8%,16.3%,"3,732",28.3%,"7,552",664,"8,621",0.80,12:59,16.5s,"57,346","2,958",4.2%,8.1%,12.3%,11.5%,2.3%,48.6%,48.0%,46.8%
云缨,打野,48.1%,-0.22%,7.5%,0.1%,0.4%,0.3%,0.5%,7.8%,8.1%,"2,258","15,610","14,104","15,793","14,329","15,427","13,878","14,854","13,762","15,567","13,646",3.3,2.7,4.9,3.02,63.4%,21.5%,"5,254",18.6%,"4,509",724,"9,690",0.98,13:23,16.3s,"19,897","6,287",7.7%,5.2%,12.9%,13.2%,5.2%,47.4%,48.6%,47.7%
明世隐,游走,48.1%,+0.25%,0.0%,0.0%,0.1%,0.0%,0.1%,0.1%,0.1%,"2,185","13,471","10,001","13,701","10,669","13,240","9,333","12,713","9,876","12,427","9,681",0.5,4.0,5.5,1.50,63.9%,10.5%,"1,957",20.0%,"5,084",503,"7,470",0.65,14:51,0.0s,"45,546",265,0.0%,0.0%,0.0%,0.0%,0.0%,37.3%,47.0%,47.1%
甄姬,中路,48.1%,-0.14%,5.8%,0.3%,1.9%,1.1%,2.2%,6.9%,8.0%,"2,260","15,494","14,116","15,720","14,311","15,268","13,920","15,161","13,597","15,177","13,634",1.5,2.6,6.6,3.07,61.1%,25.8%,"6,417",12.7%,"2,980",576,"7,939",1.45,13:47,26.1s,"5,661",602,4.2%,11.4%,15.6%,19.8%,0.0%,45.2%,49.7%,50.2%
娜可露露,打野,48.0%,+0.10%,1.0%,0.0%,0.0%,0.0%,0.0%,1.0%,1.0%,"2,241","14,750","13,042","14,957","13,499","14,542","12,584","14,402","12,822","14,479","12,511",4.4,3.4,4.4,2.57,60.6%,18.5%,"4,581",15.6%,"3,677",755,"10,356",0.82,13:43,2.2s,"19,620","4,307",5.7%,5.7%,11.4%,13.2%,11.3%,47.2%,48.8%,52.6%
宫本武藏,打野,48.0%,-0.04%,5.0%,0.9%,4.1%,2.5%,5.0%,7.5%,10.0%,"2,268","15,708","13,786","15,811","14,079","15,604","13,493","15,024","13,513","14,957","13,011",3.6,3.4,4.3,2.34,60.7%,16.8%,"3,944",18.1%,"4,274",730,"9,758",0.75,13:22,9.6s,"5,975","4,594",7.9%,3.4%,11.3%,13.1%,3.7%,44.7%,49.9%,49.5%
曜,打野,47.9%,+0.08%,1.4%,0.0%,0.0%,0.0%,0.1%,1.5%,1.5%,"2,243","15,357","13,502","15,537","13,993","15,177","13,011","14,610","13,054","14,341","12,584",3.9,2.4,4.7,3.67,59.0%,19.5%,"4,665",18.6%,"4,308",779,"10,672",0.84,13:42,6.1s,"37,751","5,714",11.8%,6.6%,18.4%,21.1%,1.3%,47.4%,50.2%,46.5%
元流之子(刺客),打野,47.8%,-0.21%,1.8%,0.0%,0.0%,0.0%,0.0%,1.8%,1.9%,"2,261","15,424","13,014","15,799","13,444","15,049","12,584","14,725","12,627","14,488","12,407",3.9,2.5,4.0,3.15,60.9%,19.2%,"4,362",19.0%,"4,470",775,"9,830",0.81,12:41,5.0s,"35,162","7,114",10.4%,9.4%,19.8%,17.7%,6.3%,47.1%,50.3%,48.9%
元流之子(坦克),游走/对抗路/打野,47.8%,+0.03%,1.1%,0.1%,0.0%,0.1%,0.1%,1.2%,1.2%,"2,267","14,598","12,212","14,799","13,011","14,396","11,413","14,695","12,658","14,335","11,602",2.2,3.5,7.3,2.73,64.9%,13.5%,"3,206",32.0%,"7,746",549,"7,320",0.81,13:20,20.1s,"31,087","3,634",9.8%,3.3%,13.1%,14.8%,1.6%,48.1%,47.1%,50.7%
白起,对抗路,47.7%,+0.08%,4.9%,0.0%,0.5%,0.2%,0.5%,5.2%,5.4%,"2,261","15,055","13,539","15,287","14,036","14,823","13,042","15,177","13,615","14,463","12,877",2.0,2.6,5.1,2.71,54.5%,13.2%,"2,937",28.4%,"7,484",635,"8,424",0.69,13:16,15.1s,"55,427","1,493",3.1%,2.7%,5.8%,6.1%,0.8%,46.4%,48.7%,48.1%
澜,打野,47.7%,-0.52%,2.5%,0.0%,0.1%,0.0%,0.1%,2.5%,2.6%,"2,253","15,647","13,506","15,939","14,000","15,354","13,011","14,812","13,359","14,830","13,237",4.1,3.3,3.6,2.31,58.4%,17.8%,"4,146",18.1%,"4,334",752,"9,726",0.78,12:56,3.0s,"32,143","6,146",11.3%,4.5%,15.8%,12.8%,7.5%,44.2%,49.8%,49.3%
暃,打野,47.6%,-0.03%,11.9%,0.1%,1.4%,0.7%,1.5%,12.5%,13.4%,"2,264","16,293","14,521","16,214","14,913","16,372","14,128","15,604","14,140","15,280","13,402",5.1,3.0,3.8,3.02,65.4%,20.8%,"5,019",17.2%,"4,023",752,"10,014",0.91,13:19,6.1s,"27,366","8,331",12.5%,10.3%,22.8%,15.2%,11.4%,46.7%,48.5%,52.7%
空空儿,游走,47.6%,+0.02%,7.6%,0.5%,0.7%,0.8%,1.1%,8.3%,8.8%,"2,273","16,114","14,241","16,635","14,878","15,592","13,603","15,470","13,749","15,470","12,926",1.5,2.6,9.3,4.21,73.6%,14.5%,"3,618",23.9%,"5,546",518,"7,088",0.92,13:41,17.4s,"70,780","2,464",10.4%,10.9%,21.3%,35.7%,0.0%,47.1%,47.3%,51.2%
钟无艳,对抗路/打野,47.6%,-0.05%,1.0%,0.0%,0.0%,0.0%,0.0%,1.0%,1.0%,"2,311","14,234","12,170","14,530","12,902","13,938","11,438","14,115","12,133","14,475","11,364",2.3,3.3,4.8,2.14,54.1%,18.3%,"4,251",24.6%,"5,973",664,"8,776",0.92,13:13,14.5s,"8,460","4,861",9.1%,1.8%,10.9%,18.2%,1.8%,51.2%,48.5%,44.5%
马可波罗,发育路,47.5%,+0.18%,1.4%,0.0%,0.0%,0.0%,0.0%,1.4%,1.4%,"2,263","15,403","13,460","15,329","13,762","15,476","13,158","15,049","13,213","15,030","13,097",3.7,2.8,4.8,3.04,55.4%,23.1%,"5,701",16.5%,"3,977",727,"9,827",1.07,13:31,0.8s,"10,493","10,008",7.8%,2.6%,10.4%,15.6%,5.2%,47.1%,49.3%,50.6%
张飞,游走,47.5%,+0.06%,18.6%,2.5%,10.5%,6.7%,12.9%,25.3%,31.6%,"2,263","16,016","14,550","16,196","14,945","15,836","14,154","15,561","14,372","15,244","13,884",0.6,2.0,8.1,4.45,67.6%,6.7%,"1,537",28.9%,"7,407",507,"6,785",0.43,13:23,26.4s,"14,149","1,056",7.1%,7.1%,14.2%,26.8%,0.0%,45.8%,48.5%,48.6%
亚连,对抗路,47.4%,-0.28%,0.6%,0.0%,0.0%,0.0%,0.0%,0.6%,0.6%,"2,255","14,738","12,789","14,762","13,457","14,713","12,121","14,670","13,005","14,542","11,895",3.6,3.7,3.3,1.91,50.0%,16.9%,"4,028",21.5%,"5,771",623,"8,732",0.86,14:01,8.1s,"12,992","2,001",3.4%,6.9%,10.3%,10.3%,3.4%,45.3%,51.1%,50.3%
孙权,发育路,47.4%,+0.22%,3.7%,0.1%,0.7%,0.3%,0.8%,4.1%,4.5%,"2,267","15,937","14,286","15,970","14,640","15,903","13,932","15,421","13,896","15,177","13,932",3.6,2.9,4.9,2.93,57.4%,26.1%,"6,511",18.0%,"4,301",710,"9,656",1.23,13:36,1.2s,"6,080","8,292",11.6%,7.0%,18.6%,18.1%,4.0%,45.7%,48.5%,48.5%
赵怀真,游走/对抗路,47.3%,+0.31%,3.5%,0.0%,0.0%,0.0%,0.0%,3.5%,3.5%,"2,262","15,152","13,484","15,415","14,213","14,888","12,755","15,158","13,591","14,921","12,672",1.8,3.0,7.7,3.14,65.7%,11.5%,"2,795",29.1%,"7,131",535,"7,410",0.69,13:51,20.9s,"13,797","3,031",7.0%,9.7%,16.7%,25.8%,1.1%,46.5%,47.1%,48.5%
墨子,游走/中路,47.3%,-0.08%,8.4%,0.4%,0.7%,0.7%,1.1%,9.2%,9.6%,"2,262","15,863","14,043","16,189","14,530","15,537","13,556","15,162","13,871","15,226","13,347",1.1,2.6,8.7,3.73,69.5%,16.6%,"4,086",24.9%,"5,650",514,"6,939",1.06,13:30,63.4s,"11,144","1,566",4.7%,5.4%,10.1%,21.3%,0.0%,46.8%,46.1%,49.9%
沈梦溪,中路,47.1%,+0.25%,19.8%,15.2%,24.2%,24.9%,39.5%,44.7%,59.2%,"2,277","16,443","14,967","16,702","15,293","16,183","14,640","15,616","14,561","15,634","14,366",2.5,2.2,6.2,4.01,67.2%,29.1%,"7,226",14.0%,"3,242",647,"8,659",1.48,13:23,5.1s,"6,241",839,14.6%,17.5%,32.1%,30.6%,1.5%,45.7%,48.3%,51.5%
刘禅,游走,47.0%,-0.34%,1.3%,0.1%,0.0%,0.1%,0.1%,1.4%,1.4%,"2,297","14,680","12,411","14,792","13,231","14,567","11,590","14,311","12,389","14,115","11,694",0.8,3.3,7.6,2.58,63.3%,9.2%,"2,068",32.4%,"7,534",505,"6,422",0.60,12:43,26.1s,"16,190","8,809",2.9%,5.8%,8.7%,23.1%,0.0%,46.0%,46.5%,51.1%
干将莫邪,中路,47.0%,+0.06%,0.9%,0.0%,0.0%,0.0%,0.0%,0.9%,0.9%,"2,265","14,775","13,265","15,110","13,829","14,439","12,700","14,719","13,097","14,420","12,682",3.1,2.5,4.7,3.11,58.4%,27.4%,"6,762",12.0%,"2,846",652,"8,791",1.39,13:29,2.2s,"5,946","1,107",12.2%,14.3%,26.5%,20.4%,0.0%,47.0%,45.9%,52.3%
朵莉亚,游走,47.0%,+0.34%,1.4%,0.1%,0.2%,0.1%,0.2%,1.6%,1.6%,"2,257","15,494","13,371","15,317","13,304","15,671","13,438","14,664","12,255","15,195","13,109",0.6,2.1,9.5,4.79,74.5%,10.3%,"2,415",25.3%,"6,136",519,"6,738",0.65,12:59,6.4s,"81,674","1,712",13.3%,2.7%,16.0%,36.0%,0.0%,45.6%,47.7%,43.8%
牛魔,游走,46.8%,+0.30%,0.4%,0.0%,0.0%,0.0%,0.0%,0.5%,0.5%,"2,284","13,864","11,553","13,892","12,259","13,835","10,847","14,036","11,511","13,408","11,070",0.9,2.4,8.5,3.91,68.4%,9.4%,"2,170",24.3%,"5,502",499,"6,512",0.61,13:03,27.0s,"5,282",609,4.3%,4.3%,8.6%,8.7%,0.0%,42.0%,48.8%,47.9%
钟馗,游走,46.7%,-0.29%,1.5%,0.0%,0.0%,0.1%,0.1%,1.6%,1.6%,"2,257","14,772","12,496","15,001","13,353","14,542","11,639","14,195","12,584","13,762","11,743",1.4,4.0,10.1,2.86,68.7%,10.4%,"2,485",27.4%,"6,288",506,"7,025",0.68,13:53,33.4s,"6,992",606,3.7%,0.0%,3.7%,14.8%,0.0%,47.7%,46.2%,46.5%
心魔六耳,打野/对抗路,46.7%,+0.02%,8.7%,1.8%,2.4%,2.8%,4.2%,11.4%,12.9%,"2,261","16,216","14,269","16,345","14,733","16,086","13,804","15,543","13,926","14,914","13,493",4.0,4.3,4.1,1.89,57.0%,21.7%,"5,268",17.8%,"4,162",722,"9,675",0.99,13:24,13.8s,"12,286","5,192",7.6%,7.6%,15.2%,15.8%,3.5%,44.1%,48.1%,50.1%
项羽,对抗路/游走,46.6%,+0.02%,1.3%,0.0%,0.1%,0.0%,0.1%,1.4%,1.4%,"2,265","14,354","12,325","14,701","13,231","14,006","11,419","14,219","12,737","13,884","11,801",1.4,3.1,6.0,2.41,54.9%,15.1%,"3,608",26.0%,"6,395",573,"7,736",0.85,13:30,36.6s,"29,494","1,911",1.4%,7.1%,8.5%,8.6%,0.0%,45.9%,47.3%,49.6%
安琪拉,中路,46.5%,-0.30%,2.4%,0.0%,0.1%,0.1%,0.1%,2.4%,2.5%,"2,289","15,357","13,283","15,396","13,688","15,317","12,877","14,597","12,859","15,110","12,694",2.9,2.6,5.3,3.16,58.9%,21.6%,"5,160",15.4%,"3,652",624,"8,403",1.14,13:28,11.0s,"5,687",890,6.3%,11.8%,18.1%,20.5%,0.0%,45.7%,46.8%,49.9%
嬴政,中路,46.4%,+0.07%,1.3%,0.0%,0.1%,0.0%,0.1%,1.3%,1.3%,"2,255","14,733","12,800","15,085","13,322","14,381","12,277","14,250","12,670","14,433","12,078",2.1,2.3,5.8,3.52,57.2%,28.3%,"6,999",14.8%,"3,475",642,"8,892",1.45,13:51,1.8s,"5,787","3,543",9.0%,10.4%,19.4%,17.9%,0.0%,42.7%,48.4%,51.7%
元流之子(法师),中路,46.3%,+0.08%,0.2%,0.0%,0.0%,0.0%,0.0%,0.2%,0.2%,"2,235","14,283","12,481","14,567","13,103","13,999","11,858","14,518","12,926","14,152","12,292",2.6,3.4,8.4,3.24,57.5%,22.9%,"6,105",15.4%,"3,552",667,"9,905",1.19,14:51,6.6s,"13,533","2,725",0.0%,0.0%,0.0%,10.0%,0.0%,43.0%,48.3%,54.2%
瑶,游走,46.1%,-0.21%,1.6%,0.0%,0.0%,0.0%,0.1%,1.7%,1.7%,"2,285","15,973","14,084","15,476","13,682","16,470","14,485","15,043","12,715","15,352","13,560",0.7,2.3,8.5,3.96,75.5%,11.8%,"2,637",16.4%,"3,627",522,"6,995",0.74,13:24,26.8s,"18,898",652,2.3%,3.5%,5.8%,22.1%,0.0%,43.2%,48.6%,48.7%
夏侯惇,对抗路,45.7%,-0.15%,0.1%,0.0%,0.0%,0.0%,0.0%,0.1%,0.1%,"2,246","13,737","11,275","13,761","11,940","13,713","10,610","13,777","11,529","13,884","10,925",2.6,3.1,4.6,2.27,49.1%,15.2%,"3,426",28.2%,"7,355",615,"7,708",0.83,12:32,26.6s,"21,104","5,389",0.0%,0.0%,0.0%,14.3%,0.0%,46.1%,46.3%,45.3%
蔡文姬,游走,45.4%,-0.78%,0.8%,0.1%,0.0%,0.1%,0.1%,0.9%,0.9%,"2,283","14,453","11,995","14,595","12,194","14,311","11,796","13,543","11,511","15,002","11,950",0.2,2.6,6.5,2.60,71.0%,9.6%,"2,072",26.9%,"6,860",504,"5,821",0.60,11:33,38.6s,"89,090",910,4.7%,4.7%,9.4%,21.0%,0.0%,44.6%,46.7%,47.3%
米莱狄,中路,44.9%,-0.05%,0.1%,0.1%,0.0%,0.1%,0.1%,0.2%,0.2%,"2,253","13,905","11,721","13,884","12,322","13,926","11,120","13,884","11,541","14,426","11,468",1.7,2.3,5.9,3.31,59.7%,29.1%,"7,545",11.9%,"2,882",630,"8,747",1.53,13:53,11.9s,"5,202","14,806",0.0%,14.3%,14.3%,57.2%,0.0%,49.8%,44.4%,40.5%
王昭君,中路,44.9%,+0.05%,1.0%,0.0%,0.1%,0.1%,0.1%,1.0%,1.1%,"2,264","14,866","12,945","14,853","13,085","14,879","12,804","15,011","12,584","14,530","12,428",2.7,2.8,8.3,3.90,69.4%,21.4%,"5,349",15.9%,"3,874",576,"8,006",1.23,13:54,22.4s,"4,875","1,330",7.7%,9.6%,17.3%,28.9%,1.9%,44.5%,46.4%,46.6%
程咬金,对抗路,44.7%,+0.16%,0.4%,0.0%,0.0%,0.0%,0.0%,0.4%,0.4%,"2,245","13,795","11,670","14,152","12,298","13,438","11,041","13,884","11,736","13,097","11,297",2.7,2.5,4.7,2.90,53.0%,18.2%,"4,690",31.5%,"8,811",661,"8,791",0.92,13:18,4.2s,"152,396","5,663",10.0%,15.0%,25.0%,30.0%,5.0%,44.3%,45.0%,46.2%
金蝉,中路,44.6%,+0.01%,1.2%,0.1%,0.1%,0.1%,0.2%,1.3%,1.4%,"2,261","14,155","12,252","14,329","12,676","13,981","11,828","13,975","12,160","14,982","12,365",2.1,2.8,7.0,3.24,68.0%,23.6%,"5,897",12.4%,"2,982",574,"8,285",1.34,14:26,5.2s,"6,923",670,3.1%,10.9%,14.0%,14.0%,0.0%,44.3%,46.5%,45.4%
吕布,对抗路,44.5%,-0.19%,0.8%,0.0%,0.0%,0.1%,0.1%,0.8%,0.8%,"2,251","14,274","12,440","14,628","13,024","13,920","11,856","14,323","12,853","14,274","12,121",2.6,3.6,4.7,2.01,47.2%,17.0%,"3,987",20.7%,"5,153",603,"8,261",0.91,13:42,7.6s,"19,753","2,204",0.0%,0.0%,0.0%,15.0%,2.5%,41.4%,47.6%,48.4%
